country,iso3c,targeted_pop_group,comments,date_implemented,source,source_type,link,category_final,code,measure_final
Afghanistan,AFG,No,NA,2020-02-12,Ministry of Health,Government,https://moph.gov.af/en/moph-held-emergency-meeting-international-health-partners-fight-against-spread-and-control-covid-19,PH - Public health measures,PH4,PH4 - Health screenings in airports and border crossings
Afghanistan,AFG,No,NA,2020-02-12,Ministry of Health,Government,https://moph.gov.af/en/moph-held-emergency-meeting-international-health-partners-fight-against-spread-and-control-covid-19,PH - Public health measures,PH5,PH5 - Introduction of quarantine policies
Afghanistan,AFG,No,NA,2020-02-12,Ministry of Health,Government,https://moph.gov.af/en/moph-held-emergency-meeting-international-health-partners-fight-against-spread-and-control-covid-19,PH - Public health measures,PH2,PH2 - Awareness campaigns
Afghanistan,AFG,No,NA,2020-02-12,Ministry of Health,Government,https://moph.gov.af/en/moph-held-emergency-meeting-international-health-partners-fight-against-spread-and-control-covid-19,NA,NA,NA
Afghanistan,AFG,No,Nevruz festival cancelled,2020-03-12,AA,Media,https://www.aa.com.tr/en/asia-pacific/coronavirus-afghanistan-scraps-annual-nevruz-festival/1763830,SD - Social distancing,SD3,SD3 - Limit public gatherings
Afghanistan,AFG,No,Closure of borders with Iran,2020-02-24,Guardian,Media,https://www.theguardian.com/global-development/2020/feb/26/coronavirus-in-a-war-zone-afghanistan-braces-for-outbreak-after-first-case,MR - Movement restrictions,MR3,MR3 - Border closure 
Afghanistan,AFG,No,NA,2020-03-01,OCHA,UN,https://reliefweb.int/sites/reliefweb.int/files/resources/20200309-sitrep-covid-19.pdf,SD - Social distancing,SD5,SD5 - Schools closure 
Afghanistan,AFG,No,all public gatherings banned,2020-03-01,OCHA,UN,https://reliefweb.int/sites/reliefweb.int/files/resources/20200309-sitrep-covid-19.pdf,SD - Social distancing,SD3,SD3 - Limit public gatherings
Afghanistan,AFG,No,NA,2020-03-01,OCHA,UN,https://reliefweb.int/sites/reliefweb.int/files/resources/20200312-sitrep-covid-19.pdf,PH - Public health measures,PH11,PH11 - Strengthening the public health system
Afghanistan,AFG,No,Food imports from Iran and Afghanistan has been limited,2020-03-01,US Embassy,Government,https://af.usembassy.gov/covid-19-information/,NA,NA,NA
Afghanistan,AFG,Yes,All China and Iran nationals,2020-02-01,US Embassy,Government,https://af.usembassy.gov/covid-19-information/,MR - Movement restrictions,MR2,MR2 - Border checks 
Albania,ALB,Yes,Italy until 3rd April,2020-03-09,Tirana Times 09/03/3030,Media,https://www.tiranatimes.com/?p=144490,MR - Movement restrictions,MR8,MR8 - International flights suspension
Albania,ALB,No,vehicle movement restrictions,2020-03-16,US Embassy,Government,https://al.usembassy.gov/updates_covid19/,MR - Movement restrictions,MR7,MR7 - Domestic travel restrictions
Albania,ALB,No,"All schools are closed from March 10, 2020 until March 23, 2020",2020-03-10,US Embassy,Government,https://al.usembassy.gov/updates_covid19/,SD - Social distancing,SD5,SD5 - Schools closure 
Albania,ALB,No,Until 3rd April,2020-03-10,US Embassy,Government,https://al.usembassy.gov/updates_covid19/,SD - Social distancing,SD3,SD3 - Limit public gatherings
Albania,ALB,Yes,People who have traveled to WHO high-risk regions for COVID-19 in the past 14 days,2020-03-10,US Embassy,Government,https://al.usembassy.gov/updates_covid19/,MR - Movement restrictions,MR4,MR4 - Checkpoints within the country
Albania,ALB,Yes,All people entering the country for 15 days,2020-03-10,US Embassy,Government,https://al.usembassy.gov/updates_covid19/,PH - Public health measures,PH5,PH5 - Introduction of quarantine policies
Albania,ALB,No,Stopped loan payments for 3 months (until 31.5.2020 as officially ordered on 17.3.2020) for all albanians,2020-03-12,BalkanInSight,Media,https://balkaninsight.com/2020/03/12/albania-close-factories-impose-curfew-in-war-against-new-coronavirus/,NA,NA,NA
Albania,ALB,No,NA,2020-03-11,US Embassy,Government,https://al.usembassy.gov/u-s-citizen-services/additional-resources/covid-19-information/,PH - Public health measures,PH2,PH2 - Awareness campaigns
Albania,ALB,No,All suspected cases at Mother Teresa International Airport and the seaports of Vlore and Durres are evaluated onsite.,2020-03-19,US embassy of Albania,Government,https://al.usembassy.gov/updates_covid19/,PH - Public health measures,PH4,PH4 - Health screenings in airports and border crossings
Albania,ALB,No,Train additional 3000 nurses and doctors to respond to COVID-19 and increased the number of medical personnel at all ports of entries,2020-03-19,"Albania Ministry of Health ""MSHMS""",Government,https://shendetesia.gov.al/31380-2/,PH - Public health measures,PH11,PH11 - Strengthening the public health system
