abb1,abb2,Province,Population,Density,Area
AH,CN-AH,Anhui Province,"59,500,510",425.91,"139,700"
BJ,CN-BJ,Beijing Municipality,"19,612,368","1,167.40","16,800"
CQ,CN-CQ,Chongqing Municipality,"28,846,170",350.5,"82,300"
FJ,CN-FJ,Fujian Province,"36,894,216",304.15,"121,580"
GD,CN-GD,Guangdong Province,"104,303,132",579.46,"180,000"
GS,CN-GS,Gansu Province,"25,575,254",56.29,"454,300"
GX,CN-GX,Guangxi Zhuang Autonomous Region,"46,026,629",195.02,"236,000"
GZ,CN-GZ,Guizhou Province,"34,746,468",197.42,"176,000"
HA (HEN),CN-HA,Henan Province,"94,023,567",563.01,"167,000"
HB (HUB),CN-HB,Hubei Province,"57,237,740",307.89,"185,900"
HE (HEB),CN-HE,Hebei Province,"71,854,202",382.81,"187,700"
HI,CN-HI,Hainan Province,"9,171,300",255.04,"34,000"
HK,CN-HK[i],Hong Kong Special Administrative Region,"7,061,200","6,396.01","1,108"
HL,CN-HL,Heilongjiang Province,"38,312,224",84.38,"454,000"
HN (HUN),CN-HN,Hunan Province,"65,683,722",312.77,"210,000"
JL,CN-JL,Jilin Province,"27,462,297",146.54,"187,400"
JS,CN-JS,Jiangsu Province,"78,659,903",766.66,"102,600"
JX,CN-JX,Jiangxi Province,"44,567,475",266.87,"167,000"
LN,CN-LN,Liaoning Province,"43,746,323",299.83,"145,900"
MO,CN-MO[j],Macau Special Administrative Region,"552,300","19,044.82",29
NM,CN-NM,Inner Mongolia Autonomous Region,"24,706,321",20.88,"1,183,000"
NX,CN-NX,Ningxia Hui Autonomous Region,"6,301,350",94.89,"66,400"
QH,CN-QH,Qinghai Province,"5,626,722",7.8,"721,200"
SC,CN-SC,Sichuan Province,"80,418,200",165.81,"485,000"
SD,CN-SD,Shandong Province,"95,793,065",622.84,"153,800"
SH,CN-SH,Shanghai Municipality,"23,019,148","3,630.20","6,341"
SN (SAA),CN-SN,Shaanxi Province,"37,327,378",181.55,"205,600"
SX (SAX),CN-SX,Shanxi Province,"35,712,111",228.48,"156,300"
TJ,CN-TJ,Tianjin Municipality,"12,938,224","1,144.46","11,305"
TW,CN-TW[k],Taiwan Province,"23,162,123",650.97,"36,161"
XJ,CN-XJ,Xinjiang Uyghur Autonomous Region,"21,813,334",13.13,"1,660,400"
XZ,CN-XZ,Tibet Autonomous Region,"3,002,166",2.44,"1,228,400"
YN,CN-YN,Yunnan Province,"45,966,239",116.66,"394,000"
ZJ,CN-ZJ,Zhejiang Province,"54,426,891",533.59,"102,000"
