Country,Population,Region,Continent
Abkhazia,244832,NA,NA
Afghanistan,32225560,Southern Asia,Asia
Aland Islands,29789,Northern Europe,Europe
Albania,2862427,Southern Europe,Europe
Algeria,43000000,Northern Africa,Africa
American Samoa,56700,Polynesia,Oceania
Andorra,77543,Southern Europe,Europe
Angola,31127674,Middle Africa,Africa
Anguilla,14869,Caribbean,North America
Antigua and Barbuda,96453,Caribbean,North America
Argentina,44938712,South America,South America
Armenia,2957500,Western Asia,Asia
Artsakh,148000,NA,NA
Aruba,112309,Caribbean,North America
Australia,25642709,Australia and New Zealand,Oceania
Austria,8902600,Western Europe,Europe
Azerbaijan,10067108,Western Asia,Asia
Bahamas,385340,Caribbean,North America
Bahrain,1543300,Western Asia,Asia
Bangladesh,168248148,Southern Asia,Asia
Barbados,287025,Caribbean,North America
Belarus,9413446,Eastern Europe,Europe
Belgium,11524454,Western Europe,Europe
Belize,408487,Central America,North America
Benin,11733059,Western Africa,Africa
Bermuda,64027,Northern America,North America
Bhutan,741672,Southern Asia,Asia
Bolivia,11469896,South America,South America
Bosnia and Herzegovina,3301000,Southern Europe,Europe
Botswana,2338851,Southern Africa,Africa
Brazil,211239627,South America,South America
British Virgin Islands�(UK),30030,NA,NA
Brunei,442400,South-eastern Asia,Asia
Bulgaria,7000039,Eastern Europe,Europe
Burkina Faso,20870060,Western Africa,Africa
Burundi,10953317,Eastern Africa,Africa
Cambodia,15288489,South-eastern Asia,Asia
Cameroon,26545864,Middle Africa,Africa
Canada,37953360,Northern America,North America
Cape Verde,550483,Western Africa,Africa
Cayman Islands,65813,Caribbean,North America
Central African Republic,5496011,Middle Africa,Africa
Chad,15692969,Middle Africa,Africa
Chile,19107216,South America,South America
China,1401710720,Eastern Asia,Asia
Christmas Island,1928,Australia and New Zealand,Oceania
Cocos (Keeling) Islands,538,Australia and New Zealand,Oceania
Colombia,49395678,South America,South America
Comoros,873724,Eastern Africa,Africa
Congo,5518092,Middle Africa,Africa
Congo,5518092,Middle Africa,Africa
Cook Islands,15200,Polynesia,Oceania
Costa Rica,5058007,Central America,North America
Croatia,4076246,Southern Europe,Europe
Cuba,11209628,Caribbean,North America
Curacao,158665,Caribbean,North America
Cyprus,875900,Western Asia,Asia
Czechia,10681161,Eastern Europe,Europe
Denmark,5822763,Northern Europe,Europe
Djibouti,1078373,Eastern Africa,Africa
Dominica,71808,Caribbean,North America
Dominican Republic,10358320,Caribbean,North America
DR Congo,89561404,NA,NA
East Timor,1387149,South-eastern Asia,Asia
Ecuador,17441852,South America,South America
Egypt,100115206,Northern Africa,Africa
El Salvador,6486201,Central America,North America
Equatorial Guinea,1358276,Middle Africa,Africa
Eritrea,3497117,Eastern Africa,Africa
Estonia,1328360,Northern Europe,Europe
Eswatini,1093238,Southern Africa,Africa
Ethiopia,98665000,Eastern Africa,Africa
F.S. Micronesia,104468,NA,NA
Falkland Islands (Malvinas),3198,NA,NA
Faroe Islands,52124,Northern Europe,Europe
Fiji,884887,Melanesia,Oceania
Finland,5527573,Northern Europe,Europe
France,67064000,Western Europe,Europe
French Polynesia,275918,Polynesia,Oceania
Gabon,2172579,Middle Africa,Africa
Gambia,2347706,Western Africa,Africa
Georgia,3723464,Western Asia,Asia
Germany,83149300,Western Europe,Europe
Ghana,30280811,Western Africa,Africa
Gibraltar,33701,Southern Europe,Europe
Greece,10724599,Southern Europe,Europe
Greenland,56081,Northern America,North America
Grenada,112003,Caribbean,North America
Guam,172400,Micronesia,Oceania
Guatemala,16604026,Central America,North America
Guernsey,62792,Northern Europe,Europe
Guinea,12218357,Western Africa,Africa
Guinea-Bissau,1604528,Western Africa,Africa
Guyana,782766,South America,South America
Haiti,11577779,Caribbean,North America
Honduras,9158345,Central America,North America
Hong Kong,7500700,NA,NA
Hungary,9772756,Eastern Europe,Europe
Iceland,364260,Northern Europe,Europe
India,1359651310,Southern Asia,Asia
Indonesia,266911900,South-eastern Asia,Asia
Iran,83271043,Southern Asia,Asia
Iraq,39127900,Western Asia,Asia
Ireland,4921500,Northern Europe,Europe
Isle of Man,83314,Northern Europe,Europe
Israel,9170100,Western Asia,Asia
Italy,60247214,Southern Europe,Europe
Ivory Coast,25823071,NA,NA
Jamaica,2726667,Caribbean,North America
Japan,126010000,Eastern Asia,Asia
Jersey,106800,Northern Europe,Europe
Jordan,10633468,Western Asia,Asia
Kazakhstan,18660920,Central Asia,Asia
Kenya,47564296,Eastern Africa,Africa
Kiribati,120100,Micronesia,Oceania
Kosovo,1795666,Southern Europe,Europe
Kuwait,4420110,Western Asia,Asia
Kyrgyzstan,6523500,Central Asia,Asia
Laos,7123205,South-eastern Asia,Asia
Latvia,1906800,Northern Europe,Europe
Lebanon,6825442,Western Asia,Asia
Lesotho,2007201,Southern Africa,Africa
Liberia,4475353,Western Africa,Africa
Libya,6871287,Northern Africa,Africa
Liechtenstein,38557,Western Europe,Europe
Lithuania,2793350,Northern Europe,Europe
Luxembourg,613894,Western Europe,Europe
Macau,679600,NA,NA
Madagascar,25680342,Eastern Africa,Africa
Malawi,17563749,Eastern Africa,Africa
Malaysia,32715760,South-eastern Asia,Asia
Maldives,374775,Southern Asia,Asia
Mali,19973000,Western Africa,Africa
Malta,493559,Southern Europe,Europe
Marshall Islands,55500,Micronesia,Oceania
Mauritania,4077347,Western Africa,Africa
Mauritius,1265985,Eastern Africa,Africa
Mexico,126577691,Central America,North America
Moldova,2681735,Eastern Europe,Europe
Monaco,38300,Western Europe,Europe
Mongolia,3306985,Eastern Asia,Asia
Montenegro,622359,Southern Europe,Europe
Montserrat,4989,Caribbean,North America
Morocco,35835488,Northern Africa,Africa
Mozambique,28571310,Eastern Africa,Africa
Myanmar,54339766,South-eastern Asia,Asia
Namibia,2458936,Southern Africa,Africa
Nauru,11000,Micronesia,Oceania
Nepal,29609623,Southern Asia,Asia
Netherlands,17443331,Western Europe,Europe
New Caledonia,282200,Melanesia,Oceania
New Zealand,4969437,Australia and New Zealand,Oceania
Nicaragua,6460411,Central America,North America
Niger,22314743,Western Africa,Africa
Nigeria,206139587,Western Africa,Africa
Niue,1520,Polynesia,Oceania
Norfolk Island,1756,Australia and New Zealand,Oceania
North Korea,25450000,Eastern Asia,Asia
North Macedonia,2077132,Southern Europe,Europe
Northern Cyprus,351965,NA,NA
Northern Mariana Islands,56200,Micronesia,Oceania
Norway,5367580,Northern Europe,Europe
Oman,4664790,Western Asia,Asia
Pakistan,218906520,Southern Asia,Asia
Palau,17900,Micronesia,Oceania
Palestine,4976684,Western Asia,Asia
Panama,4218808,Central America,North America
Papua New Guinea,8935000,Melanesia,Oceania
Paraguay,7152703,South America,South America
Peru,32131400,South America,South America
Philippines,108389690,South-eastern Asia,Asia
Pitcairn Islands,50,Polynesia,Oceania
Poland,38386000,Eastern Europe,Europe
Portugal,10276617,Southern Europe,Europe
Puerto Rico,3193694,Caribbean,North America
Qatar,2747282,Western Asia,Asia
Romania,19405156,Eastern Europe,Europe
Russia,146745098,Eastern Europe,Europe
Rwanda,12374397,Eastern Africa,Africa
Saint Barthelemy,9793,Caribbean,North America
Saint Helena,5633,Western Africa,Africa
Saint Kitts and Nevis,52823,Caribbean,North America
Saint Lucia,178696,Caribbean,North America
Saint Martin,35746,Caribbean,North America
Saint Pierre and Miquelon,6008,Northern America,North America
Saint Vincent and the Grenadines,110608,Caribbean,North America
Samoa,200874,Polynesia,Oceania
San Marino,33574,Southern Europe,Europe
S�o Tom� and Pr�ncipe,201784,NA,NA
Saudi Arabia,34218169,Western Asia,Asia
Senegal,16209125,Western Africa,Africa
Serbia,6963764,Southern Europe,Europe
Seychelles,97625,Eastern Africa,Africa
Sierra Leone,7901454,Western Africa,Africa
Singapore,5703600,South-eastern Asia,Asia
Sint Maarten�(Netherlands),40614,NA,NA
Slovakia,5456362,Eastern Europe,Europe
Slovenia,2094060,Southern Europe,Europe
Solomon Islands,680806,Melanesia,Oceania
Somalia,15893219,Eastern Africa,Africa
South Africa,58775022,Southern Africa,Africa
South Korea,51780579,Eastern Asia,Asia
South Ossetia,53532,NA,NA
South Sudan,12778250,Eastern Africa,Africa
Spain,47100396,Southern Europe,Europe
Sri Lanka,21803000,Southern Asia,Asia
Sudan,42335170,Northern Africa,Africa
Suriname,581372,South America,South America
Sweden,10333456,Northern Europe,Europe
Switzerland,8586550,Western Europe,Europe
Syria,17500657,Western Asia,Asia
Taiwan,23604265,South-eastern Asia,Asia
Tajikistan,9127000,Central Asia,Asia
Tanzania,55890747,Eastern Africa,Africa
Thailand,66480080,South-eastern Asia,Asia
Togo,7538000,Western Africa,Africa
Tokelau,1400,Polynesia,Oceania
Tonga,100651,Polynesia,Oceania
Transnistria,469000,NA,NA
Trinidad and Tobago,1363985,Caribbean,North America
Tunisia,11722038,Northern Africa,Africa
Turkey,83154997,Western Asia,Asia
Turkmenistan,6031187,Central Asia,Asia
Turks and Caicos Islands,41369,Caribbean,North America
Tuvalu,10200,Polynesia,Oceania
"Virgin Islands, U.S.",104578,NA,NA
Uganda,40299300,Eastern Africa,Africa
Ukraine,41902416,Eastern Europe,Europe
United Arab Emirates,9890400,Western Asia,Asia
UK,66435600,Northern Europe,Europe
US,329431067,Northern America,North America
Uruguay,3518552,South America,South America
Uzbekistan,34062839,Central Asia,Asia
Vanuatu,304500,Melanesia,Oceania
Vatican City,799,NA,NA
Venezuela,32219521,South America,South America
Vietnam,96208984,South-eastern Asia,Asia
Wallis and Futuna,11700,Polynesia,Oceania
Western Sahara,582463,Northern Africa,Africa
World,7770794000,NA,NA
Yemen,29825968,Western Asia,Asia
Zambia,17381168,Eastern Africa,Africa
Zimbabwe,15159624,Eastern Africa,Africa
