Country,Alpha-3 code,region,income,population,land_area_skm,pop_density,pop_largest_city,gdp_capita,life_expectancy,hospital_bed,urban_pop,pop_age_65,death_crude,unemployment,tuberculosis,gdp_per_capita_growth,import_goods,pop_slum,remittances,specialists,nurse,physicians,v_employment_male,v_employment_female,int_arrival,int_departure,"Deaths - High body-mass index - Sex: Both - Age: Age-standardized (Rate) (deaths per 100,000)",Mean BMI in women (kg/m²),Unsafe water source (deaths),Poor sanitation (deaths),No access to handwashing facility (deaths),Indoor air pollution (deaths),Non-exclusive breastfeeding (deaths),Discontinued breastfeeding (deaths),Child wasting (deaths),Child stunting (deaths),Low birth weight (deaths),Secondhand smoke (deaths),Alcohol use (deaths),Drug use (deaths),Diet low in fruits (deaths),Diet low in vegetables (deaths),Unsafe sex (deaths),Low physical activity (deaths),High blood sugar (deaths),High cholesterol (deaths),Obesity (deaths),High blood pressure (deaths),Smoking (deaths),Iron deficiency (deaths),Zinc deficiency (deaths),Vitamin-A deficiency (deaths),Low bone mineral density (deaths),Air pollution (outdoor & indoor) (deaths),Outdoor air pollution (deaths),Diet low in fiber (deaths),Diet high in sodium (deaths),Diet low in legumes (deaths),Diet low in calcium (deaths),Diet high in red meat (deaths),Diet low in whole grains (deaths),Diet low in nuts and seeds (deaths),Diet low in seafood omega-3 fatty acids (deaths),Share of adults who are obese (%),Share of adults that are overweight (%),Share of deaths from obesity (%)
Afghanistan,AFG,South Asia,Low income,37172386,652860,56.937760009803,4011770,563.825662667794,64.13,18586.193,25.495,2.58492693988024,244408.43795000002,1.54200005531311,70255.80954,-1.35017833585495,45.3320652802564,62.7,803546453.786557,11.151715800000002,11895.16352,10556.957624,85.9930009841919,95.5739974975586,NA,NA,177.08639614032805,24.23413457,5256.649275657913,3783.1111166861892,4156.209013292295,19397.378212962874,2422.3691747261273,94.11813478893845,14575.269210528028,4990.036917410951,17453.44633480848,5459.172507273896,631.7738502920051,862.3019039917234,11225.153962512555,9605.295514672629,805.9455107228198,4977.835021102306,27534.683924157627,NA,19254.957508155738,33345.023474989895,9241.25084510239,1035.2114203918513,807.8258150897897,4442.334736401,447.2064905845625,26054.195718901556,6872.06,4889.502246692423,3457.0835707585143,4384.887947562056,325.72206581469163,9.994555331696076e-4,14884.958402530445,9074.388004306811,7775.129667375912,5.5,19.7,8.5
Albania,ALB,Europe & Central Asia,Upper middle income,2866376,27400,104.612262773723,475577,5079.40111990631,78.333,8312.490399999999,60.319,13.7447359109736,22111.224464000003,13.8979997634888,515.94768,4.40251487024605,45.3977304984143,NA,1458210055.85311,333.3595288,10318.3803248,3439.0779248000003,54.9940013885498,54.6630001068116,5340000,5415000,64.28686598975193,26.50751203,4.091663843299665,1.5979068485093384,4.501301235654608,736.8814547268214,8.17311857974641,0.0718290688181364,40.613208937262726,8.280518643931824,106.85327817325253,592.1159196166004,1485.3506466964807,141.51756187704112,784.6990017299905,142.3951045967915,57.75968083692394,632.5092921601464,2992.681103839292,NA,2635.437768249717,7246.026903560847,4161.1564477077445,0.6665068608483791,0.5371240395441709,5.559881962221147,43.33951351589753,1638.570990334541,919.59,428.7858032980102,1668.3363313266022,429.7758311889087,23.21864043826058,2.710363929656747,2206.716542144117,1130.5440009678327,845.7939994891216,21.7,58.7,12.11
Algeria,DZA,Middle East & North Africa,Upper middle income,42228429,2381740,17.7300750711665,2693542,4764.37563637977,76.499,80234.01509999999,72.629,6.36249654497986,199191.499593,12.1450004577637,29137.61601,-0.615183264336011,32.3410220592228,NA,1792000000,5122.3084377000005,94591.68096000001,77278.02507,27.2270007133484,24.3370006084442,2657000,5610000,95.98075564410468,26.56116565,189.93609663555975,58.91062157318181,191.730461755334,58.11235973003758,126.55209662986911,7.7236091758458,635.454715464703,82.00800501413576,5259.112675307423,5257.501748603212,940.8081093398114,2035.2238132464613,7651.921250363074,4663.229716584738,955.2292382228345,7995.479815504735,32278.76055717764,NA,29338.76406482757,43660.55536952386,18609.93067529139,137.53114254015074,10.859774268076901,61.6458439169621,617.6388198381742,13222.284690703416,13315.3,3004.104008727202,5828.759674653584,2761.6447071900593,370.14685900865635,0.008200699601014442,16103.078981647737,11483.306529636919,8810.31079957541,27.4,60.7,17.47
American Samoa,ASM,East Asia & Pacific,Upper middle income,55465,200,277.325,NA,9271.71200951825,NA,NA,87.153,NA,232.953,NA,0,2.47043521275813,99.3710691823899,NA,NA,NA,NA,NA,NA,NA,20200,NA,181.43738432387596,35.14886463,0.7200564599153209,0.17920528941780564,0.2937691232920192,7.550280149358667,0.11848184303023854,0.0039356766400733215,2.2858599233523273,0.12044690828497749,2.7346304687076186,9.6160518435029,1.760102196561655,2.166602052621066,10.649780917425986,11.698331605862542,1.8721330269499126,8.755861188337217,86.19458425628396,NA,77.1623746985408,77.27649369006022,31.218139426031293,0.2605161393851427,0.018916467908889335,0.20566578704429872,0.70233979293391,22.179934699528307,14.63,2.679124346074297,8.519993366156097,4.836962619007227,1.089151799892312,0.32129877197744927,25.638746736833863,17.524164275590334,8.137023137095886,NA,NA,23.53
Andorra,AND,Europe & Central Asia,High income,77006,470,163.842553191489,NA,44569.7830090145,NA,192.515,88.062,NA,331.12579999999997,NA,2.31018,1.6227466770119,NA,NA,NA,63.999686600000004,309.0096768,256.6840998,NA,NA,3042000,NA,34.61148539104535,26.27166071,0.027021517297012743,0.01848820225168187,0.20630634993773356,0.25068995213500583,0.0038160926118246054,6.517704394533268e-4,0.15466025310514853,0.001400827887122784,0.3266383551723624,6.967264846363185,26.79354004897284,4.99663327082513,10.224046302490402,8.49016728959425,1.9156853713252437,13.823381629842197,66.90072672108218,NA,51.616462737222314,88.63983241861241,79.71227957351407,0.005498605563148942,0.002015479597366166,0.00346478893915815,4.119963721735159,23.32316268051549,23.67,8.737433260933784,16.957822456208508,7.155081723317571,2.5300753417873896,0.8273236816368926,23.275951962057405,13.332944990313925,8.509188372358727,25.6,68.1,9.23
Angola,AGO,Sub-Saharan Africa ,Lower middle income,30809762,1246700,24.7130520574316,7774200,3229.61973975117,60.379,NA,65.514,2.21637364776329,259787.913184,7.25299978256226,109374.6551,-5.28777959390334,23.2527213968366,55.5,1579247.15,NA,40431.6506726,6621.017853800001,53.6140007972717,80.5930042266846,218000,NA,59.411020523294546,24.37650146,14656.918214629799,9615.55665341653,9735.710078186557,7129.377633189476,2363.336774032917,212.08847040645279,15969.581807059154,3714.0469080591565,11337.983662318475,2143.88550484242,9079.898398370311,836.503645307387,2704.0494073641676,2283.1440015196354,13751.607099354736,1140.6000943890504,13735.29809532498,NA,5953.404708625449,15314.666180734703,8810.71692391753,722.655339165574,509.1853994928149,4216.257339288186,358.10247856070407,10728.383123782665,3724.05,642.9957916061459,1894.7869221902192,107.73228103785775,232.9040590359345,2.226318348390404,3972.961560608423,2617.7045114184853,1626.4378364900472,8.2,23.9,3.23
Antigua and Barbuda,ATG,Latin America & Caribbean ,High income,96286,440,218.831818181818,NA,15134.8841569088,76.752,365.8868,24.599,8.79982551980558,608.1423759999999,NA,5.77716,6.4300264671072,47.8009709238472,NA,24706009.4559501,13.5185544,300.1812336,266.2019042,NA,NA,269000,NA,81.10907427307218,27.96185992,1.0406824249036406,0.32851653728541985,1.7781305506355287,1.3907875128515361,0.21043515376592314,0.012582008540965722,2.9803955858691213,0.085465373521716,3.5696636114032407,5.813789393056975,16.159327665875214,4.381435541029809,8.493671660501672,15.425073415409308,11.129110748533153,15.095009811661992,116.58306620660868,NA,81.62361865869269,114.97369992461898,38.04276391554002,0.21629890293889445,0.0307095708503322,0.06287597538239563,1.3758455522731783,31.3755626610709,29.99,7.213135395884281,12.972695645781243,3.9282666592335964,2.4065873390703483,0.07822828290577453,32.18534274536157,20.725953326167268,8.597257999019105,18.9,48.4,14.49
Argentina,ARG,Latin America & Caribbean ,Upper middle income,44494502,2736690,16.2585100979651,14966530,10043.5085520823,76.372,222472.51,91.87,11.1177888760774,338870.127232,9.48299980163574,12013.51554,-3.46737624314432,16.4199284119137,16.7,515857737.177991,22269.498250999997,114795.81516,176198.22791999998,23.2869992554187,18.9569997191429,6942000,11130000,69.93958082333552,27.79858856,267.13916696803994,68.63580740627278,541.1825861301313,1240.4092920431156,76.81792790208432,5.073309787729903,1298.508278399254,33.24182383355527,2566.9768832125164,7399.089731449647,7181.26254903782,3771.835754766629,7582.714881254137,9760.976075932,4541.983696017284,5875.416649441863,47639.235284439776,NA,37927.885573379834,46362.78970698715,51911.51826649508,71.78723982704469,9.82649344098995,39.94969028987599,1106.5564665919217,17011.342494460037,15930.98,6235.515037163012,10793.481887753574,5768.980093533253,1884.6611620716671,792.1396362310533,17269.542390438655,13119.66601866196,5032.258165564221,28.3,63.4,11.41
Armenia,ARM,Europe & Central Asia,Upper middle income,2951776,28470,103.680224798033,1080324,4406.70643395879,74.797,12397.459200000001,63.149,11.2538176570131,29110.414912,17.7119998931885,915.05056,4.95169918007964,53.4824517351464,14.4,1488016543.51782,2558.0090816,16557.6922944,8557.198624,40.5260007381439,39.8360004425049,1652000,1623000,93.05219689352197,27.19451321,3.0455229701608695,4.379285416818686,12.664884505504116,481.5416773465013,7.7476615730359635,0.28480885821504165,34.58214277326395,5.522294500547104,98.71227335325528,1135.035314715459,289.58877974691785,236.73146144051066,1364.2413306536116,24.965831099322628,168.56863390535565,1109.6019584812664,6581.749097513259,NA,3779.62696577416,8436.619396103222,4871.943861148072,1.6150800549288542,0.711032550200089,0.30814225120352934,45.10738362808472,2629.6358536594353,2189.15,780.6434276510737,1961.5826769063567,1091.3319430528852,78.16525168815994,4.955997575422926,2855.040263237493,2159.566342873294,1325.4204862145002,20.2,55.7,13.36
Aruba,ABW,Latin America & Caribbean ,High income,105366,180,585.366666666667,NA,24485.0832823881,76.01,NA,43.293,13.0734772127631,938.4949620000001,NA,9.166841999999999,0.855431101992977,75.237898220935,NA,56140340.1581912,NA,NA,NA,NA,NA,1070500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
