Country,Date,measure,value
Afghanistan,2020-02-16,Grocery_pharmacy,109.08386229999999
Afghanistan,2020-02-16,Parks,97.944397
Afghanistan,2020-02-16,Residential,100.14422607
Afghanistan,2020-02-16,Retail_recreation,103.6287637
Afghanistan,2020-02-16,Transit_stations,109.7347288
Afghanistan,2020-02-16,Workplaces,105.0586548
Afghanistan,2020-02-17,Grocery_pharmacy,108.471283
Afghanistan,2020-02-17,Parks,98.4432373
Afghanistan,2020-02-17,Residential,99.49151611
Afghanistan,2020-02-17,Retail_recreation,105.1945977
Afghanistan,2020-02-17,Transit_stations,109.0944157
Afghanistan,2020-02-17,Workplaces,105.6741028
Afghanistan,2020-02-18,Grocery_pharmacy,103.0192261
Afghanistan,2020-02-18,Parks,98.9819946
Afghanistan,2020-02-18,Residential,100.030395508
Afghanistan,2020-02-18,Retail_recreation,102.2370095
Afghanistan,2020-02-18,Transit_stations,107.0009155
Afghanistan,2020-02-18,Workplaces,105.726593
Afghanistan,2020-02-19,Grocery_pharmacy,101.3222351
Afghanistan,2020-02-19,Parks,97.3739014
Afghanistan,2020-02-19,Residential,101.1314697
Afghanistan,2020-02-19,Retail_recreation,99.2904647
Afghanistan,2020-02-19,Transit_stations,100.95201409
Afghanistan,2020-02-19,Workplaces,105.1748352
Afghanistan,2020-02-20,Grocery_pharmacy,102.52917479999999
Afghanistan,2020-02-20,Parks,96.3777466
Afghanistan,2020-02-20,Residential,101.5205078
Afghanistan,2020-02-20,Retail_recreation,98.8178656
Afghanistan,2020-02-20,Transit_stations,104.7628894
Afghanistan,2020-02-20,Workplaces,106.5682678
Afghanistan,2020-02-21,Grocery_pharmacy,106.8406372
Afghanistan,2020-02-21,Parks,100.17059326
Afghanistan,2020-02-21,Residential,100.52984619
Afghanistan,2020-02-21,Retail_recreation,100.15224361
Afghanistan,2020-02-21,Transit_stations,106.6916051
Afghanistan,2020-02-21,Workplaces,106.5682678
Afghanistan,2020-02-22,Grocery_pharmacy,104.0412292
Afghanistan,2020-02-22,Parks,101.4543457
Afghanistan,2020-02-22,Residential,100.36682129
Afghanistan,2020-02-22,Retail_recreation,101.7522526
Afghanistan,2020-02-22,Transit_stations,106.950057
Afghanistan,2020-02-22,Workplaces,105.9446716
Afghanistan,2020-02-23,Grocery_pharmacy,105.577179
Afghanistan,2020-02-23,Parks,99.16571045
Afghanistan,2020-02-23,Residential,100.96697998
Afghanistan,2020-02-23,Retail_recreation,102.2661121
Afghanistan,2020-02-23,Transit_stations,107.5300045
Afghanistan,2020-02-23,Workplaces,106.6640625
Afghanistan,2020-02-24,Grocery_pharmacy,109.5778198
Afghanistan,2020-02-24,Parks,100.12774658
Afghanistan,2020-02-24,Residential,100.23059082
Afghanistan,2020-02-24,Retail_recreation,102.6771867
Afghanistan,2020-02-24,Transit_stations,108.8612051
Afghanistan,2020-02-24,Workplaces,107.3415222
Afghanistan,2020-02-25,Grocery_pharmacy,103.7694092
Afghanistan,2020-02-25,Parks,97.675354
Afghanistan,2020-02-25,Residential,100.81665039
Afghanistan,2020-02-25,Retail_recreation,101.9218098
Afghanistan,2020-02-25,Transit_stations,108.4130144
Afghanistan,2020-02-25,Workplaces,107.1472168
Afghanistan,2020-02-26,Grocery_pharmacy,102.4552612
Afghanistan,2020-02-26,Parks,98.1209106
Afghanistan,2020-02-26,Residential,101.382019
Afghanistan,2020-02-26,Retail_recreation,99.63523576
Afghanistan,2020-02-26,Transit_stations,103.9534163
Afghanistan,2020-02-26,Workplaces,105.9786987
Afghanistan,2020-02-27,Grocery_pharmacy,99.31973267
Afghanistan,2020-02-27,Parks,97.5765991
Afghanistan,2020-02-27,Residential,102.6716919
Afghanistan,2020-02-27,Retail_recreation,99.15601063
Afghanistan,2020-02-27,Transit_stations,103.6617911
Afghanistan,2020-02-27,Workplaces,107.1040955
Afghanistan,2020-02-28,Grocery_pharmacy,102.1768799
Afghanistan,2020-02-28,Parks,97.4626465
